의료기관명,의료기관주소(도로명),의료기관전화번호,법정동,진료과
길마취통증의학과의원,"경기도 성남시 분당구 돌마로366번길 42, 303-A2호 (수내동, 동한프라자)",031-715-9557,,마취통증의학과
신상은정신건강의학과의원,"경기도 성남시 분당구 성남대로926번길 6, 6층 602호 (야탑동, 대덕프라자)",031-706-8131,,정신건강의학과
김소아청소년과의원,"경기도 성남시 분당구 동판교로 92, 2층 202호 (백현동, 백현마을 가상가동)",031-701-8600,백현동,소아청소년과
서울탑내과의원,"경기도 성남시 분당구 돌마로 67, 401호 (금곡동, 금산젬월드)",031-714-2393,,내과
판교연세산부인과의원,"경기도 성남시 분당구 대왕판교로606번길 41, 프라임스퀘어 6층 601호 (삼평동)",031-698-3334,삼평동,산부인과
연세권마취통증의학과의원,"경기도 성남시 분당구 성남대로 45, 3층 일부호 (구미동, SM빌딩)",031-719-3400,,마취통증의학과
메디파크산부인과의원,"경기도 성남시 분당구 돌마로 43, 메디파크빌딩 3층 (금곡동)",031-622-7000,금곡동,산부인과
야탑연세마취통증의학과의원,"경기도 성남시 분당구 야탑로81번길 10, 분당아미고타워 209.210호 (야탑동)",031-622-0700,야탑동,마취통증의학과
우리아이맘정신건강의학과의원,"경기도 성남시 분당구 성남대로 168, 604일부호 (금곡동, 미도프라자)",031-711-2590,,정신건강의학과
하나소아청소년과의원,"경기도 성남시 분당구 미금로 48, 308~309호 (구미동, 오성프라자)",031-714-8890,,소아청소년과
믿음내과의원,"경기도 성남시 분당구 정자로 144, 103~104호 (정자동, 우성4단지상가)",031-719-1108,,내과
준정형외과의원,"경기도 성남시 분당구 성남대로 32, 보명프라자 202~204호, 702호, 703호 (구미동)",031-698-2228,구미동,외과
한빛재활의학과의원,"경기도 성남시 분당구 운중로 122, 골드클래스 503호 (운중동)",031-8016-7170,운중동,재활의학과
이경미산부인과의원,"경기도 성남시 분당구 서현로210번길 14, 유성트윈프라자2차 305,306호 (서현동)",031-781-0070,서현동,산부인과
엠디그린마취통증의학과의원,"경기도 성남시 분당구 성남대로779번길 52, 301~303호 (이매동, 신흥코아)",031-707-4001,,마취통증의학과
서울수내과의원,"경기도 성남시 분당구 돌마로366번길 42, 3(일부)층 301호 (수내동, 동한프라자)",031-712-5375,,내과
메디원내과의원,"경기도 성남시 분당구 성남대로331번길 7, 501호 (정자동, 정자스타빌딩)",1577-5671,,내과
코모키이비인후과의원,"경기도 성남시 분당구 판교대장로6길 10, 305~308호 (대장동)",031-8039-7021,대장동,이비인후과
엠디그린피부과의원,"경기도 성남시 분당구 성남대로779번길 52, 203~206호 305~306호 (이매동, 신흥코아)",031-708-7572,,피부과
더유외과의원,"경기도 성남시 분당구 황새울로335번길 5, 403호 (서현동, 엔타운빌딩)",031-696-1212,,외과
닥터홍이비인후과의원,"경기도 성남시 분당구 대왕판교로 660, 316호 (삼평동, 유스페이스1)",031-628-6750,,이비인후과
준이비인후과의원,"경기도 성남시 분당구 판교로 375, 502호 (삼평동, 메가스페이스1 )",031-8016-7502,,이비인후과
서울믿음재활의학과의원,"경기도 성남시 분당구 성남대로331번길 3-3, 607호 (정자동, 젤존타워3)",031-718-5955,,재활의학과
판교연세피부과의원,"경기도 성남시 분당구 동판교로 59, 301호 (백현동, 자유퍼스트프라자)",031-8017-5252,,피부과
판교연세독수리안과의원,"경기도 성남시 분당구 대왕판교로606번길 39, 럭스타워 501,601,602,603호 (삼평동)",031-8017-1234,삼평동,안과
열린이비인후과의원,"경기도 성남시 분당구 성남대로 32, 201호 (구미동, 보명프라자)",031-712-0575,,이비인후과
미래이비인후과의원,"경기도 성남시 분당구 판교역로 231, 219,220호 (삼평동, 에이치스퀘어 에스동)",031-696-7582,삼평동,이비인후과
서울탑정신건강의학과의원,"경기도 성남시 분당구 성남대로 389, 3층 302호 (정자동, 폴라리스2 )",031-716-2082,,정신건강의학과
심유진이비인후과의원,"경기도 성남시 분당구 대왕판교로606번길 39, 701~702호 (삼평동, 럭스타워)",031-781-8600,,이비인후과
서울미피부과의원,"경기도 성남시 분당구 대왕판교로606번길 39, 1001~1004호 (삼평동, 럭스타워)",1588-3083,,피부과
판교연세내과의원,"경기도 성남시 분당구 판교로 376, 마크시티 퍼플 501~503, 505호 일부호 (삼평동)",031-8016-8338,삼평동,내과
아이들소아청소년과의원,"경기도 성남시 분당구 운중로 235, 201호 202호 (판교동, 나래메디플러스)",031-8017-2524,,소아청소년과
연세더리더스내과의원,"경기도 성남시 분당구 느티로 27, 4층 일부호 (정자동, 하나프라자)",031-711-8795,,내과
이창희소아청소년과의원,"경기도 성남시 분당구 내정로 167, 302호 (수내동, 양지프라임)",031-719-0016,,소아청소년과
새봄이비인후과의원,"경기도 성남시 분당구 운중로 239, 301호 (판교동)",031-8017-7373,판교동,이비인후과
조인정형외과의원,"경기도 성남시 분당구 성남대로 168, 미도프라자 602호 (금곡동)",031-786-0134,금곡동,외과
아이로피부과의원,"경기도 성남시 분당구 운중로 142, 판교메디칼타워 401호 (운중동)",031-8016-1675,운중동,피부과
서울수정신건강의학과의원,"경기도 성남시 분당구 돌마로 67, 402,403호 (금곡동, 금산젬월드)",031-714-7571,,정신건강의학과
삼성편한내과의원,"경기도 성남시 분당구 운중로 233, 202,203호 (판교동, 한솔프라자)",031-703-5075,,내과
유앤아이피부과의원,"경기도 성남시 분당구 판교로 375, 201호,202호,203호 (삼평동, 에메트타운)",031-8016-6020,,피부과
아이린피부과의원,"경기도 성남시 분당구 성남대로 345, 303,304호 (정자동, 정자역프라자빌딩)",031-719-7525,,피부과
분당서울이비인후과의원,"경기도 성남시 분당구 성남대로 168, 402호 (금곡동, 미도프라자)",031-741-0075,,이비인후과
예이비인후과의원,"경기도 성남시 분당구 운중로 118, 402,403일부호 (운중동, 스타타워)",031-8023-5800,,이비인후과
메이저피부과의원,"경기도 성남시 분당구 황새울로351번길 10, 3층 302(일부)호 (서현동, 여얌빌딩)",031-705-7345,,피부과
퍼스트소아청소년과의원,"경기도 성남시 분당구 동판교로 59, 4층 405호 (백현동, 자유퍼스트)",031-8016-7582,,소아청소년과
연세맑은이비인후과의원,"경기도 성남시 분당구 동판교로 61, 자유퍼스트프라자2 401호, 403호 (백현동)",031-709-0075,백현동,이비인후과
노블진내과의원,"경기도 성남시 분당구 돌마로 87, 305호 (금곡동, 골드프라자)",031-719-2579,,내과
휴피부과의원,"경기도 성남시 분당구 야탑로81번길 10, 분당아미고타워 313호 (야탑동)",031-701-1093,야탑동,피부과
연세유효민내과의원,"경기도 성남시 분당구 내정로 167, 305호 (수내동, 양지프라임)",031-718-0702,,내과
채움마취통증의학과의원,"경기도 성남시 분당구 서현로 192, 404호 (서현동, 야베스밸리)",031-781-9988,,마취통증의학과
봄소아청소년과의원,"경기도 성남시 분당구 판교로 372, 405호 (삼평동, 스타식스코아1)",031-8017-7555,,소아청소년과
야탑서울안과의원,"경기도 성남시 분당구 야탑로81번길 10, 402호 (야탑동, 아미고타워)",031-622-1588,,안과
최성림유외과의원,"경기도 성남시 분당구 성남대로 385, 503호 (정자동, 분당클리닉)",031-713-3510,,외과
펄피부과의원,"경기도 성남시 분당구 분당로 43, 2층 일부호 (서현동, 나우빌딩)",031-703-3733,,피부과
분당소아청소년과의원,"경기도 성남시 분당구 중앙공원로39번길 49, 서현 지엔느 203-1호 (서현동)",031-703-3375,서현동,소아청소년과
네이처성형외과의원,"경기도 성남시 분당구 서현로 204, 302호 (서현동, 엘지분당에클라트2차)",031-708-5117,,외과
서현삼성이비인후과의원,"경기도 성남시 분당구 서현로210번길 2, 307호 (서현동, 성지하이츠텔)",031-8016-1412,,이비인후과
분당현피부과의원,"경기도 성남시 분당구 돌마로 68, 502호 (구미동, 분당프라자)",031-717-4770,,피부과
노유석내과의원,"경기도 성남시 분당구 미금로 45, 310호 (구미동, 진도훼미리프라자)",031-714-7512,,내과
이재수신경외과의원,"경기도 성남시 분당구 성남대로 381, 207호 (정자동, 폴라리스빌딩)",031-717-4782,,외과
서울메이피부과의원,"경기도 성남시 분당구 미금로 44, 3층 (구미동, 국민프라자)",031-713-7766,,피부과
서울휴재활의학과의원,"경기도 성남시 분당구 정자일로198번길 15, 402호 (정자동, 제나프라자)",031-717-7375,,재활의학과
메디파크소아청소년과의원,"경기도 성남시 분당구 돌마로 43, 4층 (금곡동, 메디파크빌딩)",031-603-3344,,소아청소년과
연세미금내과의원,"경기도 성남시 분당구 돌마로 73, 502호 (금곡동, 우방코아)",031-717-8175,,내과
서울신경외과재활의학과의원,"경기도 성남시 분당구 돌마로 68, 401호,401-1호,402호,410호,501호,511호 (구미동)",031-786-1666,구미동,외과
분당지상정신건강의학과의원,"경기도 성남시 분당구 돌마로 73, 우방코아 214호 (금곡동)",031-718-3000,금곡동,정신건강의학과
판교성모이비인후과의원,"경기도 성남시 분당구 대왕판교로606번길 58, 2-18호 2-19B호 (삼평동, 판교푸르지오월드마크)",031-712-3317,,이비인후과
로즈피부과의원,"경기도 성남시 분당구 느티로 27, 하나플라자빌딩 601,602호 (정자동)",031-714-9970,정자동,피부과
연세소울정신건강의학과의원,"경기도 성남시 분당구 황새울로342번길 23, 5층 2-1호 (서현동, 기영프라자)",031-781-8620,,정신건강의학과
플러스미피부과의원,"경기도 성남시 분당구 서현로 192, 306호 (서현동, 야베스밸리)",031-698-3300,,피부과
리앤홍이비인후과의원,"경기도 성남시 분당구 성남대로331번길 7, 401호 402-1일부호 (정자동, 정자스타빌딩)",031-714-1077,,이비인후과
예미원피부과의원,"경기도 성남시 분당구 정자일로213번길 19, 201~206호 (정자동, 아이파크분당2)",031-718-7570,,피부과
오월의아침피부과의원,"경기도 성남시 분당구 돌마로 46, 3층 5층 302호 502호 (구미동, 근생빌딩)",031-717-5207,,피부과
연세정정신건강의학과의원,"경기도 성남시 분당구 서현로321번길 10, 3층 (서현동)",031-704-7585,서현동,정신건강의학과
엠에스(MS)성형외과의원,"경기도 성남시 분당구 성남대로 345, 405호,406호 (정자동, 정자역프라자)",031-8022-8800,,외과
연세미피부과의원,"경기도 성남시 분당구 백현로101번길 24, 401호 (수내동, 미도프라자2)",031-715-8188,,피부과
한사랑김경희소아청소년과의원,"경기도 성남시 분당구 중앙공원로40번길 4, 203호 (서현동, 카스스포콤)",031-701-7111,,소아청소년과
분당우태하피부과의원,"경기도 성남시 분당구 돌마로 482, 5층 (서현동, 주영빌딩)",031-781-1675,,피부과
오라클피부과의원,"경기도 성남시 분당구 서현로180번길 13, 601~604호 (서현동, 서현프라자)",031-707-4975,,피부과
정자헌내과의원,"경기도 성남시 분당구 성남대로926번길 6, 4층 406호 (야탑동, 대덕프라자)",031-704-6575,,내과
서지영소아청소년과의원,"경기도 성남시 분당구 미금일로 55, 201호 (구미동, 하얀마을6단지상가동)",031-711-3623,구미동,소아청소년과
서현안과의원,"경기도 성남시 분당구 돌마로 478, 202,203호 (서현동, 효자촌프라자)",031-781-9700,,안과
상쾌한이비인후과의원,"경기도 성남시 분당구 정자일로 248, 501호 (정자동, 파크뷰상가)",031-783-2070,,이비인후과
이앤박내과의원,"경기도 성남시 분당구 돌마로 79, 701호 (금곡동, 썬프라자)",031-718-0875,,내과
이유미산부인과의원,"경기도 성남시 분당구 성남대로 912, 409호 (야탑동, BYC빌딩)",031-783-8770,,산부인과
야탑이비인후과의원,"경기도 성남시 분당구 야탑로81번길 10, 303호,304일부호 (야탑동, 분당아미고타워)",031-622-1901,,이비인후과
베일러연세이비인후과의원,"경기도 성남시 분당구 성남대로 385, 301호 302호 (정자동, 분당클리닉)",031-710-9680,,이비인후과
리즈피부과의원,"경기도 성남시 분당구 성남대로331번길 3-3, 젤존타워III 4층 403호, 404호 (정자동)",031-713-3553,정자동,피부과
장앤전내과이비인후과의원,"경기도 성남시 분당구 내정로173번길 1, 5층 (수내동, 우리은행)",031-715-2688,,내과
분당연세산부인과의원,"경기도 성남시 분당구 내정로 29, 금곡프라자 205호 (정자동)",031-711-1711,정자동,산부인과
지니성형외과의원,"경기도 성남시 분당구 성남대로 345, 정자역프라자 805호 (정자동)",031-757-8252,정자동,외과
마리안과의원,"경기도 성남시 분당구 내정로17번길 2, 4012호 (정자동, 한솔프라자)",031-716-5175,,안과
메트로재활의학과의원,"경기도 성남시 분당구 성남대로 926, 501호 502호 (야탑동, 메트로빌딩)",031-781-6543,,재활의학과
삼성항외과의원,"경기도 성남시 분당구 돌마로 52, 401호 (구미동, MD프라자)",031-714-6588,,외과
이지함피부과의원,"경기도 성남시 분당구 서현로 204, 402,403호 (서현동, 엘지에클라트2)",031-705-2100,,피부과
이권전내과의원,"경기도 성남시 분당구 정자일로 248, 503호 (정자동, 파크뷰)",031-783-3601,,내과
이지연성형외과의원,"경기도 성남시 분당구 성남대로 165, 317호 (금곡동, 천사의도시오피스텔)",031-782-4448,,외과
웰정형외과의원,"경기도 성남시 분당구 정자일로 248, 401호 (정자동, 파크뷰A상가)",031-783-4475,,외과
요셉신경외과의원,"경기도 성남시 분당구 돌마로 52, 403호 (구미동, MD빌딩)",031-712-7696,,외과
아름다운나라피부과의원,"경기도 성남시 분당구 황새울로 332, 6층 일부호 (서현동, 분당문화센터)",031-707-0545,,피부과
연세에덴정신건강의학과의원,"경기도 성남시 분당구 돌마로 47, 409호 (금곡동, 이코노샤르망)",031-713-9434,,정신건강의학과
리지엔피부과의원,"경기도 성남시 분당구 성남대로 385, 501호 (정자동, 분당클리닉빌딩)",031-710-9580,,피부과
라끄리니정신건강의학과의원,"경기도 성남시 분당구 성남대로 385, 504호 (정자동, 분당클리닉빌딩)",031-710-9590,,정신건강의학과
리체내과신경과의원,"경기도 성남시 분당구 성남대로 385, 402호 (정자동, 분당클리닉)",031-710-9510,,내과
김수조피부과의원,"경기도 성남시 분당구 정자일로 240, 407호 (정자동, 월드프라자)",031-717-1017,,피부과
수흉부외과의원,"경기도 성남시 분당구 돌마로 46, 501호 (구미동, 광천프라자)",031-715-7536,,외과
분당재활의학과의원,"경기도 성남시 분당구 성남대로 345, 301호 (정자동, 정자역플라자)",031-711-7595,,재활의학과
분당서울재활의학과의원,"경기도 성남시 분당구 장미로 78, 3층 301호 (야탑동, 시그마3)",031-704-5500,,재활의학과
신지용정신건강의학과의원,"경기도 성남시 분당구 성남대로916번길 7, 301호 (야탑동, 서일빌딩)",031-705-5594,,정신건강의학과
3대정이비인후과의원,"경기도 성남시 분당구 야탑로 95, 2층 (야탑동, 세신옴니코아)",031-709-8400,,이비인후과
고려이비인후과의원,"경기도 성남시 분당구 내정로17번길 2, 4001호 (정자동, 한솔프라자)",031-726-2500,,이비인후과
정자씨앤피차앤박피부과의원,"경기도 성남시 분당구 성남대로331번길 3-13, 502~504호 (정자동, 대명제스트빌딩)",031-715-0061,,피부과
분당박소아청소년과의원,"경기도 성남시 분당구 양현로94번길 21, 304호 (이매동, 분당코아빌딩)",031-702-7585,,소아청소년과
현내과의원,"경기도 성남시 분당구 정자일로 55, 109-311호 (금곡동, 분당두산위브)",031-717-2081,,내과
분당연세내과의원,"경기도 성남시 분당구 성남대로 34, 502호 (구미동, 하나프라자)",031-713-0875,,내과
김태용내과의원,"경기도 성남시 분당구 야탑로81번길 10, 307-1호 (야탑동, 아미고타워)",031-622-1717,,내과
하늘빛안과의원,"경기도 성남시 분당구 내정로 172, 502호 (수내동, 성지상가)",031-719-5556,,안과
네이브키즈연세소아청소년과의원,"경기도 성남시 분당구 야탑로81번길 10, 3층 309-1호, 309-2호 (야탑동, 분당아미고타워)",031-622-1777,,소아청소년과
연세푸른정신건강의학과의원,"경기도 성남시 분당구 야탑로81번길 10, 302호 (야탑동, 아미고타워)",031-622-0707,,정신건강의학과
분당연세플러스안과의원,"경기도 성남시 분당구 성남대로 168, 501호(일부), 502~505호 (금곡동, 미도프라자)",031-714-3232,,안과
e-서울이비인후과의원,"경기도 성남시 분당구 황새울로342번길 11, 401호 402호 (서현동, 금호리빙스텔)",031-706-0270,,이비인후과
푸른숲소아청소년과의원,"경기도 성남시 분당구 돌마로366번길 42, 2층 (수내동, 동한프라자)",031-716-0006,,소아청소년과
무지개소아청소년과의원,"경기도 성남시 분당구 미금로 39, 305,306호 (구미동, 로얄프라자)",031-719-6633,,소아청소년과
연세예정신건강의학과의원,"경기도 성남시 분당구 성남대로 168, 307호 (금곡동, 미도프라자)",031-716-8833,,정신건강의학과
씨앤피차앤박피부과의원,"경기도 성남시 분당구 황새울로342번길 9, 8호 (서현동, 서울문고)",031-709-7229,,피부과
연세김남수안과의원,"경기도 성남시 분당구 백현로101번길 16, 409~413호 (수내동, 대덕프라자)",031-711-0075,,안과
애플소아청소년과의원,"경기도 성남시 분당구 성남대로779번길 50, MDG 1층 (이매동)",031-707-1756,이매동,소아청소년과
연세베스트외과의원,"경기도 성남시 분당구 서현로 192, 403호 (서현동, 야베스밸리)",031-707-7100,,외과
윤호소아과의원,"경기도 성남시 분당구 분당로263번길 39, 206호 (서현동, 레이디파크)",031-781-8575,,소아청소년과
맑은샘서울내과의원,"경기도 성남시 분당구 백현로101번길 23, 402호 (수내동, 미도프라자)",031-719-7749,,내과
연세유앤유외과의원,"경기도 성남시 분당구 서현로 184, 엘지분당에클라트 208호 (서현동)",031-781-6875,서현동,외과
연세리정신건강의학과의원,"경기도 성남시 분당구 서현로 192, 301호 (서현동, 야베스벨리)",031-707-5646,,정신건강의학과
다나이비인후과의원,"경기도 성남시 분당구 돌마로 75, 501호 (금곡동, 미금프라자)",031-719-5665,,이비인후과
서울엔도내과의원,"경기도 성남시 분당구 서현로 184, 213호 (서현동)",031-707-0567,서현동,내과
분당서울내과의원,"경기도 성남시 분당구 돌마로 75, 403호 (금곡동, 미금프라자)",031-712-7700,,내과
리지안안과의원,"경기도 성남시 분당구 돌마로 68, 211호 3층일부호 (구미동, 분당프라자)",031-719-7582,,안과
박병찬피부과의원,"경기도 성남시 분당구 내정로165번길 50, 307호 (수내동, 크리스탈빌딩)",031-719-5500,,피부과
좋은하루외과의원,"경기도 성남시 분당구 돌마로 68, 406~409호 (구미동, 분당프라자)",031-719-8275,,외과
한양내과의원,"경기도 성남시 분당구 돌마로 68, 404호 (구미동, 분당프라자)",031-718-8875,,내과
코앤코이비인후과의원,"경기도 성남시 분당구 백현로101번길 24, 301,402호 (수내동, 미도프라자2)",031-713-0100,,이비인후과
좋은항외과의원,"경기도 성남시 분당구 성남대로 926, 306,307호 (야탑동, 메트로빌딩)",031-706-4504,,외과
맑은세상정신건강의학과의원,"경기도 성남시 분당구 성남대로 38, 403호 (구미동, 비즈바이코리아)",031-715-4569,,정신건강의학과
신유호정신건강의학과의원,"경기도 성남시 분당구 분당로53번길 9, 301호 (서현동, 에이원프라자)",031-706-4824,,정신건강의학과
메디파크내과의원,"경기도 성남시 분당구 돌마로 43, 메디파크빌딩 4층 401-1호, 401-3호, 401-4호 (금곡동)",031-605-7200,금곡동,내과
열린정신건강의학과의원,"경기도 성남시 분당구 백현로101번길 23, 302호 (수내동, 미도프라자)",031-714-9515,,정신건강의학과
초림플러스내과의원,"경기도 성남시 분당구 백현로101번길 25, 4층 (수내동)",031-715-4500,수내동,내과
에이엔에이내과의원,"경기도 성남시 분당구 황새울로335번길 5, 301호 (서현동, 앤타운빌딩)",031-704-2121,,내과
미모아피부과의원,"경기도 성남시 분당구 돌마로 67, 309호 (금곡동, 금산젬월드)",031-711-0086,,피부과
연세아름소아과의원,"경기도 성남시 분당구 판교로 442, 402호 (이매동, 우일프라자)",031-781-4101,,소아청소년과
전피부과의원,"경기도 성남시 분당구 돌마로 478, 206호 (서현동, 창인프라자)",031-708-5300,,피부과
연세두리소아청소년과의원,"경기도 성남시 분당구 돌마로 80, 201호 6~8호 (구미동, 현대벤처빌)",031-714-5775,,소아청소년과
소운정신건강의학과의원,"경기도 성남시 분당구 서현로210번길 2, 305호 (서현동, 성지하이츠텔)",031-703-7820,,정신건강의학과
분당서울안과의원,"경기도 성남시 분당구 분당로53번길 20, 이랜드분당프라자 501호 (서현동)",031-781-7400,서현동,안과
서울내과의원,"경기도 성남시 분당구 성남대로 906, 5층 (야탑동, 주택은행내)",031-702-9828,,내과
서울중앙내과의원,"경기도 성남시 분당구 미금로 39, 205~206호 (구미동, 로얄프라자)",031-714-2363,,내과
서울엘피부과의원,"경기도 성남시 분당구 돌마로356번길 3, 308호 (수내동, 그랜드프라자)",031-758-2656,,피부과
노성희산부인과의원,"경기도 성남시 분당구 미금로 45, 206호 (구미동, 진도훼미리프라자)",031-717-4288,,산부인과
서현서울내과의원,"경기도 성남시 분당구 황새울로342번길 11, 403호 404호 (서현동, 금호리빙스텔)",031-706-1771,,내과
분당연세독수리안과의원,"경기도 성남시 분당구 서현로210번길 20, 3층 (서현동, 코코프라자)",031-702-7582,,안과
굿아이연세안과의원,"경기도 성남시 분당구 운중로 249, 301호, 302호 (판교동)",031-463-5777,판교동,안과
김영수내과의원,"경기도 성남시 분당구 백현로 206, 101~103호 (정자동, 한솔근린상가)",031-718-1497,,내과
365에스와이(SY)서울연세이비인후과의원,"경기도 성남시 분당구 서현로210번길 20, 3,4층 305-3,306,402호 (서현동, 코코프라자)",031-704-5275,,이비인후과
YES성형외과의원,"경기도 성남시 분당구 황새울로342번길 9 (서현동, 서울문고)",031-709-2306,,외과
오성숙마취통증의학과의원,"경기도 성남시 분당구 백현로 105, 209호 (수내동, 로얄팰리스하우스빌)",031-711-2589,,마취통증의학과
이응주정형외과의원,"경기도 성남시 분당구 백현로 105, 210호 (수내동)",031-717-2536,수내동,외과
연세모네피부과의원,"경기도 성남시 분당구 분당로53번길 22, 5층 (서현동)",031-709-6354,서현동,피부과
김호수소아과의원,"경기도 성남시 분당구 돌마로356번길 3, 309호 (수내동, 그랜드빌딩)",031-711-5493,,소아청소년과
에스앤유피부과의원,"경기도 성남시 분당구 황새울로200번길 9-7, 201~203호 (수내동)",031-714-0808,수내동,피부과
분당안과의원,"경기도 성남시 분당구 성남대로 912, 분당BYC빌딩 407,408,409-1,410호 (야탑동)",031-703-6464,야탑동,안과
황정형외과의원,"경기도 성남시 분당구 성남대로172번길 12, 306,307호 (금곡동, 한국프라자)",031-716-6543,,외과
큰나무정형외과의원,"경기도 성남시 분당구 미금일로 73, 1층 (구미동)",031-713-8777,구미동,외과
해수소중한아이정신건강의학과의원,"경기도 성남시 분당구 돌마로 68, 405호 (구미동, 분당프라자)",031-717-5545,,정신건강의학과
김홍철이비인후과의원,"경기도 성남시 분당구 정자로 105, 302호 (정자동, 새소망전인교육센타)",031-712-5566,,이비인후과
푸른소아청소년과의원,"경기도 성남시 분당구 서판교로 36, 3층 일부호 (판교동, 화령빌딩)",031-715-3577,,소아청소년과
분당연세이비인후과의원,"경기도 성남시 분당구 돌마로 478, 211호 (서현동, 창인프라자)",031-702-8222,,이비인후과
분당서울외과의원,"경기도 성남시 분당구 황새울로258번길 36, 403호 (수내동, 광진프라자)",031-717-1345,,외과
강욱내과의원,"경기도 성남시 분당구 내정로 170, 408호 (수내동, 동신파크)",031-711-8686,,내과
김기환이비인후과의원,"경기도 성남시 분당구 미금로 48, 305호 (구미동, 오성프라자)",031-719-2653,,이비인후과
성모신경정신건강의학과의원,"경기도 성남시 분당구 성남대로 926, 510호 (야탑동, 메트로빌딩)",031-708-0353,,정신건강의학과
로즈앤성형외과의원,"경기도 성남시 분당구 성남대로 385, 502호 (정자동, 분당클리닉빌딩)",031-709-6333,,외과
우경종정신건강의학과의원,"경기도 성남시 분당구 황새울로312번길 20, 303호 (서현동, 태성빌딩)",031-707-6353,,정신건강의학과
강&서마취통증의학과의원,"경기도 성남시 분당구 황새울로342번길 9, 5층 (서현동, 정현빌딩)",031-781-1146,,마취통증의학과
홍만제정신건강의학과의원,"경기도 성남시 분당구 돌마로 86, 2동 308,309호 (구미동, 엘레강스프라자)",031-718-7775,,정신건강의학과
늘푸른산부인과의원,"경기도 성남시 분당구 돌마로 79, 3층 302~304호 (금곡동, 썬프라자)",031-719-1004,,산부인과
심덕택피부과의원,"경기도 성남시 분당구 돌마로 87, 306~307호 (금곡동, 골드프라자)",031-716-1353,,피부과
성이비인후과의원,"경기도 성남시 분당구 미금로 44, 3층 (구미동, 국민프라자)",031-714-3200,,이비인후과
안기완내과의원,"경기도 성남시 분당구 성남대로 170, 309호 (금곡동, 한국프라자)",031-715-6090,,내과
선내과의원,"경기도 성남시 분당구 돌마로90번길 4, 303호 (구미동, 엘레강스프라자)",031-716-9759,,내과
선우이비인후과의원,"경기도 성남시 분당구 돌마로90번길 4, 305호 (구미동, 엘레강스프라자)",031-717-2010,,이비인후과
정보원안과의원,"경기도 성남시 분당구 돌마로 87, 3층 304호 (금곡동, 골드프라자)",031-717-2020,,안과
탁용준내과의원,"경기도 성남시 분당구 성남대로 926, 407,410호 (야탑동, 분당메트로빌딩)",031-707-7715,,내과
김내과의원,"경기도 성남시 분당구 판교로 433, 301호 (야탑동, 삼성코아)",031-705-4579,,내과
고형기소아청소년과의원,"경기도 성남시 분당구 장미로 139, 201호 (야탑동,  매화마을 공무원아파트상가)",031-706-1350,,소아청소년과
표호수이비인후과의원,"경기도 성남시 분당구 성남대로 926, 503호 (야탑동, 분당메트로빌딩)",031-705-0767,,이비인후과
닥터김이비인후과의원,"경기도 성남시 분당구 내정로 29, 201호 (정자동, 금곡프라자)",031-714-6379,,이비인후과
전내과의원,"경기도 성남시 분당구 내정로 29, 306,307호 (정자동, 금곡프라자)",031-714-7241,,내과
한광선소아청소년과의원,"경기도 성남시 분당구 야탑로 95, 5층 6호 (야탑동, 세신옴니코아)",031-702-7792,,소아청소년과
황혜영소아과의원,"경기도 성남시 분당구 내정로 29, 207호 (정자동, 금곡프라자)",031-712-6603,,소아청소년과
신영피부과의원,"경기도 성남시 분당구 성남대로 926, 601호 (야탑동, 분당메트로빌딩)",031-702-6228,,피부과
차영수피부과의원,"경기도 성남시 분당구 내정로 29, 202호 302~303호 (정자동, 금곡프라자)",031-714-5737,,피부과
홍안과의원,"경기도 성남시 분당구 성남대로 926, 508호 (야탑동, 분당메트로빌딩)",031-707-2580,,안과
배희동내과의원,"경기도 성남시 분당구 내정로17번길 2, 4005호 (정자동, 한솔프라자)",031-713-3118,,내과
최숙경안과의원,"경기도 성남시 분당구 미금로 48, 302호 (구미동, 오성프라자)",031-711-0056,,안과
연세김내과의원,"경기도 성남시 분당구 불정로376번길 37, 304호 (서현동, 범한프라자)",031-701-6113,,내과
구미신경외과의원,"경기도 성남시 분당구 미금로 48, 301호 (구미동, 오성프라자)",031-713-5602,,외과
서울이비인후과의원,"경기도 성남시 분당구 불정로 379, 304호 (서현동, 서현프라자)",031-701-4312,,이비인후과
베일러이화산부인과의원,"경기도 성남시 분당구 성남대로 385, 301호 302호 (정자동, 분당클리닉)",031-710-9670,,산부인과
보경내과의원,"경기도 성남시 분당구 내정로 170, 308호 (수내동, 동신파크빌딩)",031-712-1872,,내과
전소아과의원,"경기도 성남시 분당구 불정로 379, 302호 (서현동, 분당서현프라자)",031-702-4976,,소아청소년과
닥터지피부과의원,"경기도 성남시 분당구 서현로210번길 20, 코코프라자 502호 (서현동)",031-705-4476,서현동,피부과
이봉구피부과의원,"경기도 성남시 분당구 내정로 170, 304호 (수내동, 동신파크빌딩)",031-711-1213,,피부과
홍성우피부과의원,"경기도 성남시 분당구 불정로 381, 303호 (서현동, 동진프라자)",031-702-4824,,피부과
분당여성산부인과의원,"경기도 성남시 분당구 성남대로 926, 403호 404호 (야탑동, 분당메트로빌딩)",031-701-0462,,산부인과
이재민이비인후과의원,"경기도 성남시 분당구 중앙공원로39번길 7, 2층 204호 (서현동, 삼성한신상가)",031-701-3278,,이비인후과
김정규이비인후과의원,"경기도 성남시 분당구 내정로 170, 301,302호 (수내동, 동신파크빌딩)",031-711-9601,,이비인후과
